UTC time	2708_pm1	2708_pm25	2708_pm10	2708_temperature	2708_humidity	2708_pressure
2018-03-11T12:00:00Z	19.824000	31.408000	45.486667	17.205556	62.420058	100524.765133
2018-03-11T13:00:00Z	18.106667	28.506667	43.160000	17.841667	60.145498	100465.876244
2018-03-11T14:00:00Z	15.228000	23.874000	37.485000	18.081250	56.728341	100409.904022
2018-03-11T15:00:00Z	14.645333	22.805333	35.806667	18.080556	58.638367	100357.987356
2018-03-11T16:00:00Z	18.272000	30.181333	45.606667	17.144444	56.182904	100329.542911
2018-03-11T17:00:00Z	18.954667	31.578667	48.200000	15.375000	60.594954	100299.987356
2018-03-11T18:00:00Z	27.685333	45.701333	66.293333	14.000000	64.873163	100295.209578
2018-03-11T19:00:00Z	36.618667	60.890667	91.840000	12.136111	72.072544	100297.209578
2018-03-11T20:00:00Z	48.240000	83.578667	131.346667	11.102778	74.181864	100280.320689
2018-03-11T21:00:00Z	32.405333	54.560000	83.480000	11.469444	67.508550	100256.320689
2018-03-11T22:00:00Z	23.076000	38.796000	57.600000	11.840625	65.238470	100203.029022
2018-03-11T23:00:00Z	17.146667	27.301333	44.646667	10.736111	70.145419	100148.765133
2018-03-12T00:00:00Z	16.444800	26.270400	42.636000	10.115000	69.960326	100088.954022
2018-03-12T01:00:00Z	16.400000	26.149333	42.186667	8.775000	77.741316	100043.654022
2018-03-12T02:00:00Z	17.792000	28.752000	46.426667	7.080556	84.018002	99979.987356
2018-03-12T03:00:00Z	17.754667	28.576000	46.240000	6.572222	85.805019	99878.320689
2018-03-12T04:00:00Z	16.836000	27.210000	44.070000	6.193750	89.143008	99813.154022
2018-03-12T05:00:00Z	16.442667	26.373333	42.813333	6.288889	92.214898	99753.098467
2018-03-12T06:00:00Z	17.029333	27.146667	44.246667	6.822222	91.548648	99668.542911
2018-03-12T07:00:00Z	18.112000	28.965333	46.466667	6.925000	91.977276	99623.987356
2018-03-12T08:00:00Z	19.504000	31.445333	48.286667	7.952778	87.077753	99572.987356
2018-03-12T09:00:00Z	17.424000	27.222000	42.907500	9.690625	80.210300	99531.654022
2018-03-12T10:00:00Z	17.635200	29.083200	46.926000	12.640000	70.811501	99487.154022
2018-03-12T11:00:00Z	17.984000	29.648000	48.233333	14.072222	65.744674	99444.542911
2018-03-12T12:00:00Z	15.440000	23.648000	37.260000	14.758333	63.183973	99382.654022
2018-03-12T13:00:00Z	15.174000	23.406000	36.735000	15.812500	66.291365	99316.904022
2018-03-12T14:00:00Z	15.002667	22.906667	36.186667	15.697222	65.184727	99295.876244
2018-03-12T15:00:00Z	19.456000	30.714667	46.800000	15.066667	66.775664	99259.654022
2018-03-12T16:00:00Z	19.322667	31.200000	48.273333	13.000000	85.400194	99222.987356
2018-03-12T17:00:00Z	26.298667	41.808000	60.260000	12.525000	87.083058	99202.209578
2018-03-12T18:00:00Z	31.525333	50.080000	73.260000	11.766667	87.476943	99208.542911
2018-03-12T19:00:00Z	23.461333	37.637333	55.666667	11.161111	91.251508	99213.431800
2018-03-12T20:00:00Z	27.024000	43.984000	65.340000	11.047222	90.514733	99217.098467
2018-03-12T21:00:00Z	29.477333	48.970667	72.133333	10.575000	92.771184	99235.431800
